Date,Open,High,Low,Close,Change %,Volume
"Jun. 15, 2011","1,287.87","1,287.87","1,261.90","1,265.42",-1.74%,"4,070,500,000"
"Jun. 14, 2011","1,272.22","1,292.50","1,272.22","1,287.87",1.26%,"3,500,280,000"
"Jun. 13, 2011","1,271.31","1,277.04","1,265.64","1,271.83",0.07%,"4,132,520,000"
"Jun. 10, 2011","1,288.60","1,288.60","1,268.28","1,270.98",-1.40%,"3,846,250,000"
"Jun. 09, 2011","1,279.63","1,294.54","1,279.63","1,289.00",0.74%,"3,332,510,000"
"Jun. 08, 2011","1,284.63","1,287.04","1,277.42","1,279.56",-0.42%,"3,970,810,000"
"Jun. 07, 2011","1,286.31","1,296.22","1,284.74","1,284.94",-0.10%,"3,846,250,000"
"Jun. 06, 2011","1,300.26","1,300.26","1,284.72","1,286.17",-1.08%,"3,555,980,000"
"Jun. 03, 2011","1,312.94","1,312.94","1,297.90","1,300.16",-0.97%,"3,505,030,000"
"Jun. 02, 2011","1,314.55","1,318.03","1,305.61","1,312.94",-0.12%,"3,762,170,000"
"Jun. 01, 2011","1,345.20","1,345.20","1,313.71","1,314.55",-2.28%,"4,241,090,000"
"May 31, 2011","1,331.10","1,345.20","1,331.10","1,345.20",1.06%,"4,696,240,000"
"May 27, 2011","1,325.69","1,334.62","1,325.69","1,331.10",0.41%,"3,124,560,000"
"May 26, 2011","1,320.64","1,328.51","1,314.41","1,325.69",0.40%,"3,259,470,000"
"May 25, 2011","1,316.36","1,325.86","1,311.80","1,320.47",0.32%,"4,109,670,000"
"May 24, 2011","1,317.70","1,323.72","1,313.87","1,316.28",-0.08%,"3,846,250,000"
"May 23, 2011","1,333.07","1,333.07","1,312.88","1,317.37",-1.19%,"3,255,580,000"
"May 20, 2011","1,342.00","1,342.00","1,330.67","1,333.27",-0.77%,"4,066,020,000"
"May 19, 2011","1,342.40","1,346.82","1,336.36","1,343.60",0.22%,"3,626,110,000"
"May 18, 2011","1,328.54","1,341.82","1,326.59","1,340.68",0.88%,"3,922,030,000"
"May 17, 2011","1,326.10","1,330.42","1,318.51","1,328.98",-0.04%,"4,053,970,000"
"May 16, 2011","1,334.77","1,343.33","1,327.32","1,329.47",-0.62%,"3,846,250,000"
"May 13, 2011","1,348.69","1,350.47","1,333.36","1,337.77",-0.81%,"3,426,660,000"
"May 12, 2011","1,339.39","1,351.05","1,332.03","1,348.65",0.49%,"3,777,210,000"
"May 11, 2011","1,354.51","1,354.51","1,336.36","1,342.08",-1.11%,"3,846,250,000"
"May 10, 2011","1,348.34","1,359.44","1,348.34","1,357.16",0.81%,"4,223,740,000"
"May 09, 2011","1,340.20","1,349.44","1,338.64","1,346.29",0.45%,"4,265,250,000"
"May 06, 2011","1,340.24","1,354.36","1,335.58","1,340.20",0.38%,"4,223,740,000"
"May 05, 2011","1,344.16","1,348.00","1,329.17","1,335.10",-0.91%,"3,846,250,000"
"May 04, 2011","1,355.90","1,355.90","1,341.50","1,347.32",-0.69%,"4,223,740,000"
"May 03, 2011","1,359.76","1,360.84","1,349.52","1,356.62",-0.34%,"4,223,740,000"
"May 02, 2011","1,365.21","1,370.58","1,358.59","1,361.22",-0.18%,"3,846,250,000"
"Apr. 29, 2011","1,360.14","1,364.56","1,358.69","1,363.61",0.23%,"3,479,070,000"
"Apr. 28, 2011","1,353.86","1,361.71","1,353.60","1,360.48",0.36%,"4,036,820,000"
"Apr. 27, 2011","1,348.43","1,357.49","1,344.25","1,355.66",0.62%,"4,051,570,000"
"Apr. 26, 2011","1,336.75","1,349.55","1,336.75","1,347.24",0.90%,"3,908,060,000"
"Apr. 25, 2011","1,337.14","1,337.55","1,331.47","1,335.25",-0.16%,"2,142,130,000"
"Apr. 21, 2011","1,333.23","1,337.49","1,332.83","1,337.38",0.53%,"3,587,240,000"
"Apr. 20, 2011","1,319.12","1,332.66","1,319.12","1,330.36",1.35%,"4,236,280,000"
"Apr. 19, 2011","1,305.99","1,312.70","1,303.97","1,312.62",0.57%,"3,886,300,000"
"Apr. 18, 2011","1,313.35","1,313.35","1,294.70","1,305.14",-1.10%,"4,223,740,000"
"Apr. 15, 2011","1,314.54","1,322.88","1,313.68","1,319.68",0.39%,"4,223,740,000"
"Apr. 14, 2011","1,311.13","1,316.79","1,302.42","1,314.52",0.01%,"3,872,630,000"
"Apr. 13, 2011","1,314.03","1,321.35","1,309.19","1,314.41",0.02%,"3,850,860,000"
"Apr. 12, 2011","1,321.96","1,321.96","1,309.51","1,314.16",-0.78%,"4,275,490,000"
"Apr. 11, 2011","1,329.01","1,333.77","1,321.06","1,324.46",-0.28%,"3,478,970,000"
"Apr. 08, 2011","1,336.16","1,339.46","1,322.94","1,328.17",-0.40%,"3,582,810,000"
"Apr. 07, 2011","1,334.82","1,338.80","1,326.56","1,333.51",-0.15%,"4,005,600,000"
"Apr. 06, 2011","1,335.94","1,339.38","1,331.09","1,335.54",0.22%,"4,223,740,000"
"Apr. 05, 2011","1,332.03","1,338.21","1,330.03","1,332.63",-0.02%,"3,852,280,000"
"Apr. 04, 2011","1,333.56","1,336.74","1,329.10","1,332.87",0.03%,"4,223,740,000"
"Apr. 01, 2011","1,329.48","1,337.85","1,328.89","1,332.41",0.50%,"4,223,740,000"
"Mar. 31, 2011","1,327.44","1,329.77","1,325.03","1,325.83",-0.18%,"3,566,270,000"
"Mar. 30, 2011","1,321.89","1,331.74","1,321.89","1,328.26",0.67%,"3,809,570,000"
"Mar. 29, 2011","1,309.37","1,319.45","1,305.26","1,319.44",0.71%,"3,482,580,000"
"Mar. 28, 2011","1,315.45","1,319.74","1,310.19","1,310.19",-0.27%,"3,215,170,000"
"Mar. 25, 2011","1,311.80","1,319.18","1,310.15","1,313.80",0.32%,"4,223,740,000"
"Mar. 24, 2011","1,300.61","1,311.34","1,297.74","1,309.66",0.93%,"4,223,740,000"
"Mar. 23, 2011","1,292.19","1,300.51","1,284.05","1,297.54",0.29%,"3,842,350,000"
"Mar. 22, 2011","1,298.29","1,299.35","1,292.70","1,293.77",-0.36%,"3,576,550,000"
"Mar. 21, 2011","1,281.65","1,300.58","1,281.65","1,298.38",1.50%,"4,223,730,000"
"Mar. 18, 2011","1,276.71","1,288.88","1,276.18","1,279.20",0.43%,"4,685,500,000"
"Mar. 17, 2011","1,261.61","1,278.88","1,261.61","1,273.72",1.34%,"4,134,950,000"
"Mar. 16, 2011","1,279.46","1,280.91","1,249.05","1,256.88",-1.95%,"5,833,000,000"
"Mar. 15, 2011","1,288.46","1,288.46","1,261.12","1,281.87",-1.12%,"5,201,400,000"
"Mar. 14, 2011","1,301.19","1,301.19","1,286.37","1,296.39",-0.60%,"4,050,370,000"
"Mar. 11, 2011","1,293.43","1,308.35","1,291.99","1,304.28",0.71%,"3,740,400,000"
"Mar. 10, 2011","1,315.72","1,315.72","1,294.21","1,295.11",-1.89%,"4,723,020,000"
"Mar. 09, 2011","1,319.92","1,323.21","1,312.27","1,320.02",-0.14%,"3,709,520,000"
"Mar. 08, 2011","1,311.05","1,325.74","1,306.86","1,321.82",0.89%,"4,531,420,000"
"Mar. 07, 2011","1,322.72","1,327.68","1,303.99","1,310.13",-0.83%,"3,964,730,000"
"Mar. 04, 2011","1,330.73","1,331.08","1,312.59","1,321.15",-0.74%,"4,223,740,000"
"Mar. 03, 2011","1,312.37","1,332.28","1,312.37","1,330.97",1.72%,"4,340,470,000"
"Mar. 02, 2011","1,305.47","1,314.19","1,302.58","1,308.44",0.16%,"1,025,000,000"
"Mar. 01, 2011","1,328.64","1,332.09","1,306.14","1,306.33",-1.57%,"1,180,420,000"
"Feb. 28, 2011","1,321.61","1,329.38","1,320.55","1,327.22",0.56%,"1,252,850,000"
"Feb. 25, 2011","1,307.34","1,320.61","1,307.34","1,319.88",1.06%,"3,836,030,000"
"Feb. 24, 2011","1,307.09","1,310.91","1,294.26","1,306.10",-0.10%,"1,222,900,000"
"Feb. 23, 2011","1,315.44","1,317.91","1,299.55","1,307.40",-0.61%,"1,330,340,000"
"Feb. 22, 2011","1,338.91","1,338.91","1,312.33","1,315.44",-2.05%,"1,322,780,000"
"Feb. 18, 2011","1,340.38","1,344.07","1,338.12","1,343.01",0.19%,"1,162,310,000"
"Feb. 17, 2011","1,334.37","1,341.50","1,331.00","1,340.43",0.31%,"1,966,450,000"
"Feb. 16, 2011","1,329.51","1,337.61","1,329.51","1,336.32",0.63%,"1,966,450,000"
"Feb. 15, 2011","1,330.43","1,330.43","1,324.61","1,328.01",-0.32%,"3,926,860,000"
"Feb. 14, 2011","1,328.73","1,332.96","1,326.90","1,332.32",0.24%,"3,567,040,000"
"Feb. 11, 2011","1,318.66","1,330.79","1,316.08","1,329.15",0.55%,"4,219,300,000"
"Feb. 10, 2011","1,318.13","1,322.78","1,311.74","1,321.87",0.07%,"4,184,610,000"
"Feb. 09, 2011","1,322.48","1,324.54","1,314.89","1,320.88",-0.28%,"3,922,240,000"
"Feb. 08, 2011","1,318.76","1,324.87","1,316.03","1,324.57",0.42%,"3,881,530,000"
"Feb. 07, 2011","1,311.85","1,322.85","1,311.85","1,319.05",0.62%,"3,902,270,000"
"Feb. 04, 2011","1,307.01","1,311.00","1,301.67","1,310.87",0.29%,"3,925,950,000"
"Feb. 03, 2011","1,302.77","1,308.60","1,294.83","1,307.10",0.24%,"4,370,990,000"
"Feb. 02, 2011","1,305.91","1,307.61","1,302.62","1,304.03",-0.27%,"4,098,260,000"
"Feb. 01, 2011","1,289.14","1,308.86","1,289.14","1,307.59",1.67%,"5,164,500,000"
"Jan. 31, 2011","1,276.50","1,287.17","1,276.50","1,286.12",0.77%,"4,167,160,000"
"Jan. 28, 2011","1,299.63","1,302.67","1,275.10","1,276.34",-1.79%,"5,618,630,000"
"Jan. 27, 2011","1,297.51","1,301.29","1,294.41","1,299.54",0.22%,"4,309,190,000"
"Jan. 26, 2011","1,291.97","1,299.74","1,291.97","1,296.63",0.42%,"4,730,980,000"
"Jan. 25, 2011","1,288.17","1,291.26","1,281.07","1,291.18",0.03%,"4,595,380,000"
"Jan. 24, 2011","1,283.29","1,291.93","1,282.47","1,290.84",0.58%,"3,902,470,000"
"Jan. 21, 2011","1,283.63","1,291.21","1,282.07","1,283.35",0.24%,"4,935,320,000"
"Jan. 20, 2011","1,280.85","1,283.35","1,271.26","1,280.26",-0.13%,"4,935,320,000"
"Jan. 19, 2011","1,294.52","1,294.60","1,278.92","1,281.92",-1.01%,"4,743,710,000"
"Jan. 18, 2011","1,293.22","1,296.06","1,290.16","1,295.02",0.14%,"5,284,990,000"
"Jan. 14, 2011","1,282.90","1,293.24","1,281.24","1,293.24",0.74%,"4,661,590,000"
"Jan. 13, 2011","1,285.78","1,286.70","1,280.47","1,283.76",-0.17%,"4,310,840,000"
"Jan. 12, 2011","1,275.65","1,286.87","1,275.65","1,285.96",0.90%,"4,226,940,000"
"Jan. 11, 2011","1,272.58","1,277.25","1,269.62","1,274.48",0.37%,"4,050,750,000"
"Jan. 10, 2011","1,270.84","1,271.52","1,262.18","1,269.75",-0.14%,"4,036,450,000"
"Jan. 07, 2011","1,274.41","1,276.83","1,261.70","1,271.50",-0.18%,"4,963,110,000"
